postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,n_facades
2930.0,229500.0,2.0,96.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0
1150.0,230000.0,0.0,46.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0
1150.0,230000.0,1.0,70.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0
1200.0,230000.0,1.0,64.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
1200.0,235000.0,1.0,57.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0
4470.0,235000.0,3.0,100.0,1.0,1.0,1.0,6.0,0.0,0.0,4.0
1082.0,239000.0,2.0,88.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0
2140.0,239000.0,2.0,88.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0
4340.0,239500.0,2.0,128.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0
1000.0,240000.0,2.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1080.0,240000.0,2.0,90.0,1.0,0.0,1.0,15.0,0.0,0.0,2.0
1090.0,240000.0,2.0,118.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1340.0,240000.0,1.0,85.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9200.0,240000.0,2.0,84.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0
1200.0,245000.0,2.0,80.0,1.0,0.0,1.0,15.0,0.0,0.0,2.0
1435.0,245000.0,2.0,72.0,1.0,0.0,1.0,7.0,0.0,0.0,3.0
9280.0,247000.0,2.0,100.0,1.0,1.0,1.0,18.0,1.0,280.0,2.0
1770.0,249000.0,2.0,90.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
2140.0,249000.0,2.0,92.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0
2930.0,249000.0,2.0,90.0,1.0,1.0,1.0,7.0,0.0,0.0,2.0
3300.0,249000.0,2.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4680.0,249000.0,3.0,221.0,1.0,0.0,0.0,0.0,1.0,123.0,3.0
8370.0,249000.0,1.0,59.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
8434.0,249000.0,2.0,62.0,1.0,0.0,1.0,14.0,0.0,0.0,3.0
1080.0,250000.0,2.0,84.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0
1150.0,250000.0,1.0,49.0,1.0,0.0,1.0,30.0,0.0,0.0,2.0
1210.0,250000.0,2.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2500.0,250000.0,2.0,106.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1000.0,255000.0,2.0,67.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0
1000.0,255000.0,2.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
