url,region,province,district,postalCode,locality,street,Type_property,subtype_property,price,type_transaction,floor,n_rooms,living_area,equipped_kitchen,furnished,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,n_floorCount,swimming_pool,state_building
https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10671060,Wallonie,Liège,Huy,4500,Huy,Avenue de Batta,APARTMENT,APARTMENT,250000,FOR_SALE,4,3,98,1,0,1,1,,0,0,0,,11,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605,Flanders,West Flanders,Brugge,8370,Blankenberge,Zeedijk,APARTMENT,APARTMENT,289000,FOR_SALE,2,2,68,1,1,1,1,,0,0,0,,11,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669125,Flanders,East Flanders,Gent,9051,Gent Sint-Denijs-Westrem,Putkapelstraat,APARTMENT,APARTMENT,325000,FOR_SALE,4,2,91,1,0,0,1,15,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10670349,Brussels,Brussels,Brussels,1140,Evere,Avenue Franz Guillaume,APARTMENT,APARTMENT,385000,FOR_SALE,1,2,92,1,0,0,1,10,0,0,0,2,6,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10668885,Flanders,Antwerp,Antwerp,2000,Antwerp,Van der Sweepstraat,APARTMENT,APARTMENT,425000,FOR_SALE,5,3,108,1,0,0,1,10,0,0,0,2,,0,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10670895,Brussels,Brussels,Brussels,1180,Uccle,Clos du Drossart,APARTMENT,PENTHOUSE,595000,FOR_SALE,2,3,133,1,0,1,1,15,0,0,0,2,2,0,GOOD
https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10588500,Brussels,Brussels,Brussels,1000,Brussels City,Pierre Gasseestraat,APARTMENT,LOFT,1250000,FOR_SALE,3,3,366,1,0,0,1,114,0,0,0,4,3,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10675358,Brussels,Brussels,Brussels,1080,Molenbeek-Saint-Jean,Avenue Brigade Piron,APARTMENT,APARTMENT,180000,FOR_SALE,4,1,71,1,0,0,0,0,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/10677271,Flanders,Antwerp,Antwerp,2900,Schoten,Antoon Wolfsstraat,APARTMENT,APARTMENT,209000,FOR_SALE,1,2,95,1,0,1,1,2,0,0,0,2,,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10675329,Brussels,Brussels,Brussels,1090,Jette,Henri Liebrechtlaan,APARTMENT,APARTMENT,230000,FOR_SALE,7,3,117,1,0,0,1,8,0,0,0,2,8,0,TO_BE_DONE_UP
